wiki_id,scan,rt,precursor_mz,charge,binbase-splash,user_annotation-name,key,library_search-identity_score,smiles,msms,hidden,ms1_inte,adduct,method
222.43979	14946.0
515.3913	18391.0
561.4097	15507.0
794.0817	15305.0
829.6461	792721.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/S5N9WF7I,21,108.6,725.51239,1,splash10-0006-5210090000-c4271511aba9fc6587dc,1_PS 17:0-14:1-d5,21,0.865966260433197,[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C]([2H])(OC(=O)CCCCCCCC=CCCCC)C([2H])([2H])OP(=O)(O)OC[CH](N)C(=O)O,"67.05419	33826.0
69.06989	38862.0
71.0062	2901.0
71.08554	42621.0
79.05388	5230.0
81.06988	41331.0
83.0855	38165.0
85.10125	28791.0
87.46679	3144.0
88.03894	12258.0
93.06972	7457.0
95.08549	65878.0
97.06477	5352.0
97.10119	27659.0
102.50037	3078.0
107.08534	5839.0
108.94474	2742.0
109.10116	51884.0
111.11642	11887.0
113.50027	3594.0
121.10107	32699.0
123.11716	10208.0
135.1176	28882.0
137.13214	3574.0
149.13202	4888.0
160.04147	5272.0
209.18942	19683.0
210.09096	3502.0
220.67131	6714.0
253.25168	14532.0
288.25668	14577.0
296.22104	24473.0
332.31766	21219.0
340.28342	4679.0
540.5028	539019.0
725.3714	5324.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/KJIGNNW0,22,120.6,723.56952,1,splash10-001i-0900000000-7a664a7ff832838c15f0,1_PC 17:0-14:1-d5,22,0.9990209937095642,[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C]([2H])(OC(=O)CCCCCCCC=CCCCC)C([2H])([2H])OP(=O)([O-])OCC[N+](C)(C)C,"60.08096	322258.0
61.25069	18692.0
61.73996	18489.0
71.07301	38312.0
75.51971	19823.0
86.09641	1561166.0
87.77155	18676.0
97.44488	19348.0
104.1069	256243.0
105.30349	19417.0
115.05116	21352.0
115.89976	18320.0
124.99972	486175.0
170.32423	20443.0
170.49873	24149.0
170.8207	23066.0
183.37914	29749.0
184.07329	32602964.0
185.07747	83514.0
201.48315	19291.0
220.49608	44516.0
452.41187	19232.0
497.37714	34377.0
515.38666	40547.0
522.36334	23691.0
540.5038	80852.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/GDXA2I8S,24,120.0,753.54369,1,splash10-014i-8411090000-f8634a896efd657a69c4,1_PS 17:0-16:1-d5,24,0.9463867545127868,[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C]([2H])(OC(=O)CCCCCCCC=CCCCCCC)C([2H])([2H])OP(=O)(O)OC[CH](N)C(=O)O,"67.05431	47817.0
69.06992	59460.0
71.08162	5851.0
71.08559	85470.0
79.05411	3847.0
81.06991	102680.0
83.08559	91622.0
85.10115	64792.0
88.0395	29577.0
91.84441	3368.0
93.06976	15736.0
95.08555	127613.0
97.1012	95907.0
99.1171	7048.0
107.08519	18100.0
109.10116	74243.0
111.08007	3928.0
111.11688	43158.0
121.1011	53524.0
123.11674	47709.0
125.13268	3495.0
127.11183	4098.0
132.5468	3430.0
135.11693	49718.0
137.13269	27549.0
149.13193	20592.0
151.14786	7481.0
153.12717	7592.0
160.04156	16250.0
163.14796	4488.0
219.20985	23313.0
220.67169	6049.0
235.24252	3601.0
237.22133	75249.0
243.8854	3235.0
253.25284	48741.0
316.289	35172.0
324.25247	55205.0
332.32062	42850.0
340.28323	17829.0
360.0292	3687.0
506.50488	3670.0
